DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
112567,2,,1,1,2,1,2,1,1,1,3,1,1,489.16145641
112568,2,,1,1,2,1,2,1,1,1,3,1,1,448.09388468
112569,2,,1,1,2,1,2,1,1,1,3,1,1,590.84803537
112570,2,,1,1,2,1,2,1,1,1,3,1,1,527.73389885
112571,2,,1,1,2,1,2,1,1,1,3,1,1,515.64084964
112572,2,,1,1,2,1,2,1,1,1,3,1,1,551.64816349
112573,2,,1,1,2,1,2,1,1,1,3,1,1,513.07572105
112574,2,,1,1,2,1,2,1,1,1,3,1,1,527.03647011
112575,2,,1,1,2,1,2,1,1,1,3,1,1,412.08657084
112576,2,,1,1,2,1,2,1,1,1,3,1,1,513.7031505
112577,2,,1,1,2,1,2,1,1,1,3,1,1,477.06840721
112578,2,,1,1,2,1,2,1,1,1,3,1,1,484.2530491
112579,2,,1,1,2,1,2,1,1,1,3,1,1,513.7031505
112580,2,,1,1,1,1,2,1,1,1,3,1,1,727.73806256
112581,2,,1,1,2,1,2,1,1,1,3,1,1,630.82461957
112582,2,,1,1,1,1,1,1,1,1,3,1,1,1336.7416788
112583,2,,1,1,2,1,1,1,1,1,3,1,1,1295.1718177
112584,2,,1,1,1,1,1,1,1,1,3,1,1,1418.4936865
112585,2,,1,1,2,1,1,1,1,1,3,1,1,1432.9640601
112586,2,,1,1,2,1,1,1,1,1,3,1,1,1597.4749713
112587,2,,1,1,1,1,1,1,1,1,3,1,1,1462.2476909
112588,2,,1,1,1,1,1,1,1,1,3,1,1,1503.071862
112589,2,,1,1,1,1,1,1,1,1,3,1,1,2104.1558593
112591,2,,1,1,1,1,1,1,1,1,3,1,1,1937.7655703
112592,2,,1,1,1,1,1,1,1,1,3,1,1,1564.7700109
112593,2,,1,1,1,1,1,1,1,1,3,1,1,1370.4929967
112594,2,,1,1,2,1,2,1,1,1,3,1,1,498.84022777
112595,2,,1,1,2,1,2,1,1,1,3,1,1,622.17307135
112596,2,,1,1,2,1,2,1,1,1,3,1,1,495.01041939
